Names,Ratings,Reviews,Basic Info,Services,Basic Info2,Description
Mphasis,3.8,5kReviews),"Public, Bangalore/Bengaluru,Karnataka + 42 more, 24 years old, 10k-50k Employees (India)","Hardware & Networking, IT Services & Consulting, Software Product, Fortune India 500, Public, Bangalore/Bengaluru,Karnataka","About, Reviews 5k, Salaries 49.6k, Interviews 328, Jobs 279","Mphasis applies next-generation technology to help enterprises transform businesses globally. Customer centricity is foundational to Mphasis and is reflected in the Mphasis’ Front2Back™ Transformation approach. Front2Back™ uses the exponential power of cloud and cognitive to provide hyper-personalized (C=X2C2 TM=1) digital experience to clients and their end customers. Mphasis’ Service Transformation approach helps ‘shrink the core’ through the application of digital technologies across legacy environments within an enterprise, enabling businesses to stay ahead in a changing world. Mphasis’ core reference architectures and tools, speed and innovation with domain expertise and specialization are key to building strong relationships with marquee clients."
Startek,3.4,5kReviews),"Public, Mumbai,Maharashtra + 51 more, 5 years old, 5k-10k Employees (India)","BPO/KPO, BPO, IT Services & Consulting, Public","About, Reviews 5k, Salaries 19.9k, Interviews 179, Jobs 30","For more than 25 years we’ve held an organization-wide conviction, that it’s our job to be the front line promoting and protecting your brand. Some of the world’s most prominent industry leaders, from telecommunication giants to technology power houses entrust STARTEK to uphold their reputations and to safe-guard their hard-won customers.We work around the clock, around the world, and with great determination to ensure every customer interaction is one that authentically matters. It’s on this front line, in the moments of direct, person-to-person engagement, where the battle for customer loyalty lives or dies, and why we take our responsibility so seriously.Every one of our centers has a program dedicated to improving and supporting the communities they are a part of through direct involvement and volunteerism. While we know paying it forward feels great, it also just makes good business sense. We’ve seen first hand what third party studies reinforce all the time — that engaged employees who have a sense of belonging, also have less absenteeism, lower turnover and are more profitable.In addition to taking care of the communities our sites are in, STARTEK prides itself in taking care of one another during times of hardship as well. In 2014, STARTEK launched WIN (Warriors In Need), a foundation intended to provide basic necessities and temporary relief to any STARTEK employee as result of disaster or extraordinary life events.The program was conceived by employees, for employees, and is primarily funded by STARTEK employee contributions to help one another in times of great need. The program is in its infancy, but has already proven to be an essential resource for facing a critical crisis."
Dr. Reddy's,4.2,5.1kReviews),"Public, Hyderabad/Secunderabad,Telangana + 139 more, 36 years old, 10k-50k Employees (India)","Clinical Research, Pharma, Fortune India 500, Public, Hyderabad/Secunderabad,Telangana","About, Reviews 5.1k, Salaries 21.1k, Interviews 180, Jobs 373","Ask any of the 20,000 employees at Dr. Reddy’s why they come to work every day, and you are bound to hear, because ‘Good Health Can’t Wait.’ These simple words describe the deep-rooted belief that drives us. Sometimes, the simplest words describe the most profound truths.'Good Health’ is always our goal. We see medicines not just as molecules, but as means to help patients regain their health. As a leader in the pharmaceutical industry, we realize our unique role; we have the ethical and moral imperative to ensure good health can be delivered to those who need it, and to promote wellness among them.'Can't Wait’ reflects our commitment to act with speed to find innovative solutions that address the unmet needs of patients, and to accelerate access to much-needed medicines for people around the world."
Cipla Pharmaceut...,4.1,5kReviews),"Public, Mumbai,Maharashtra + 189 more, 87 years old, 10k-50k Employees (India)","Manufacturing, Pharma, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 5k, Salaries 23.2k, Interviews 253, Jobs 31","At Cipla, we constantly work towards ensuring access to high quality and affordable medicines to support patients in need. Which is why, we have been trusted by health care professionals and patients across geographies for the last 8 decades.Cipla, as an organisation has been built brick-by-brick on the foundation of care. Caring For Life has always been and continues to remain, our guiding purpose. Driven by the same purpose, we have extended our presence to 80+ countries providing over 1,500 products across various therapeutic categories in 50+ dosage forms. To make healthcare more affordable globally, we are deepening our presence in the key markets of India, South Africa, the U.S. among other economies of the emerging world."
Sutherland Globa...,3.8,5.2kReviews),"Private, Pittsford,New York + 41 more, 36 years old, 10k-50k Employees (India)","Facility Management Services, Recruitment, BPO","About, Reviews 5.2k, Salaries 23.5k, Interviews 239, Jobs 179","We make digital 𝐡𝐮𝐦𝐚𝐧™ by combining human-centered design with real-time Analytics, AI, Cognitive Technology & Automation to create exceptionally engineered Brand Experiences! Sutherland is an experience-led digital transformation company. Our mission is to deliver exceptionally engineered experiences for customers and employees today, that continue to delight tomorrow. For over 35 years, we have cared for our customers’ customers, delivering measurable results and accelerating growth. Our proprietary, AI-based products and platforms are built using robust IP and automation. We are a team of global professionals, operationally effective, culturally meshed, and committed to our clients and to one another. We call it One Sutherland. #MakeDigitalHuman"
Asian Paints,4.2,5kReviews),"Public, Mumbai,Maharashtra + 351 more, 80 years old, 10k-50k Employees (India)","Chemicals / Agri Inputs, Consumer goods, Manufacturing, Retail, Chemicals, Forbes Global 2000, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 5k, Salaries 20.9k, Interviews 292, Jobs 92","The company has come a long way since its small beginning in 1942. Four friends who were willing to take on the world's biggest, most famous paint companies operating in India at that time set it up as a partnership firm. Over the course of 25 years, Asian Paints became a corporate force and India's leading paints company. Driven by its strong consumer-focus and innovative spirit, the company has been the market leader in paints since 1967.Asian Paints is India’s leading paint company with a group turnover of Rs 202.1 billion. The group has an enviable reputation in the corporate world for professionalism, fast track growth, and building shareholder equity. Asian Paints operates in 15 countries and has 26 paint manufacturing facilities in the world servicing consumers in over 60 countries. Besides Asian Paints, the group operates around the world through its subsidiaries  Asian Paints Berger, Apco Coatings, SCIB Paints, Taubmans, Causeway Paints and Kadisco Asian Paints.Asian Paints manufactures wide range of paints for Decorative and Industrial use. In Decorative paints, Asian Paints is present in all the four segments v.i.z Interior Wall Finishes, Exterior Wall Finishes, Enamels and Wood Finishes.  It also offers Water proofing,  wall coverings and adhesives in its product portfolio.In the Industrial coatings space, Asian Paints operates through two 50:50 joint ventures with PPG Inc, USA.,  one of the largest automotive coatings manufacturer in the world.  The first Joint Venture  ‘PPG Asian Paints Pvt Ltd’  services the increasing requirements of the Indian automotive coatings market. The second JV  ‘Asian Paints PPG Pvt Ltd’ services the protective, industrial powder, industrial containers and light industrial coatings markets in India.Vertical integration has seen Asian Paints diversify into chemical products such as Phthalic Anhydride and Pentaerythritol, which are used in the paint manufacturing process.  The company has discontinued production of Phthalic Anhydride from end of July 2017.In the Home Improvement and Décor category, the company is present in the Kitchen and Bath fittings space and offers various products under Sleek and Ess Ess brand respectively."
Jana Small Finan...,3.8,4.8kReviews),"Public, Bangalore/Bengaluru,Karnataka + 316 more, 16 years old, 10k-50k Employees (India)","Banking, Fortune India 500, Public, Bangalore/Bengaluru,Karnataka","About, Reviews 4.8k, Salaries 19.4k, Interviews 124, Jobs 42","Jana Small Finance Bank is a Scheduled Commercial Bank. Established in Bengaluru in 2008, it has been recognized globally as one of the most innovative financial institutions working on financial inclusion.As on September 30, 2019, the Bank’s distribution network was at 270 banking outlets (including 25 business correspondence outlets), 298 asset centres and 120 ATMs. Of the total banking outlets, 43% are in semi-urban and rural areas. Number of employees were at 14,452 as of Sep 30, 2019."
Yes Bank,4.0,4.7kReviews),"Public, Mumbai,Maharashtra + 365 more, 18 years old, 10k-50k Employees (India)","Financial Services, Banking, Forbes Global 2000, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 4.7k, Salaries 41.3k, Interviews 198, Jobs 157","YES BANK, India’s fourth largest private sector bank is a high quality, customer centric and service driven Bank. Since inception in 2004, YES BANK has grown into a ‘Full Service Commercial Bank’ providing a complete range of products, services and technology driven digital offerings, catering to corporate, MSME & retail customers. YES BANK operates its Investment banking, Merchant banking & Brokerage businesses through YES SECURITIES and its Mutual Fund business through YES Asset Management (India) Limited, both wholly owned subsidiaries of the Bank. Headquartered in Mumbai, it has a pan-India presence across all 28 states and 9 Union Territories in India including an IBU at GIFT City, and a Representative Office in Abu Dhabi."
ICICI Prudential...,4.1,4.6kReviews),"Public, Mumbai,Maharashtra + 403 more, 22 years old, 10k-50k Employees (India)","Financial Services, Insurance, Public, Mumbai,Maharashtra","About, Reviews 4.6k, Salaries 26.4k, Interviews 196, Jobs 146","ICICI Prudential Life Insurance Company Limited (ICICI Prudential Life) is promoted by ICICI Bank Limited and Prudential Corporation Holdings Limited.ICICI Prudential Life began its operations in the fiscal year 2001. On a retail weighted received premium basis (RWRP), it has consistently been amongst the top companies in the Indian life insurance sector. Our Assets Under Management (AUM) on 31st March 2022 were `2,404.92 billion.At ICICI Prudential Life, we operate on the core philosophy of customer-centricity. We offer long-term savings and protection products to meet the different life stage requirements of our customers."
NTT DATA,4.0,4.8kReviews),"Private, Chiyoda City,Tokyo + 40 more, 34 years old, 10k-50k Employees (India)",IT Services & Consulting,"About, Reviews 4.8k, Salaries 47.5k, Interviews 276, Jobs 890","NTT DATA is your Innovation Partner anywhere around the world. Headquartered in Tokyo, with business operations in more than 50 countries and regions, we emphasize long-term commitment and combine global reach and local intimacy to provide premier professional services from consulting, system development to business IT outsourcing.Since 1967, NTT DATA has played an instrumental role in establishing and advancing IT infrastructure. Originally part of Nippon Telegraph and Telephone Public Corporation, its heritage contributed to social benefits with a quality-first mindset. A public company since 1995, the company builds on this proven track record of innovation by providing novel IT solutions to bring results in a greater quality of life for people, communities, and societies around the world."
Udaan,4.1,4.5kReviews),"Private, Bangalore,Karnataka + 314 more, 6 years old, 1k-5k Employees (India)","Consumer goods, Financial Services, Internet, Retail, Startup, Indian Unicorn","About, Reviews 4.5k, Salaries 22.5k, Interviews 226, Jobs 300","Udaan is a network-centric B2B trade platform, designed specifically for small & medium businesses in India. It brings traders, wholesalers, retailers, manufacturers, and brands in India onto a single platform. With real insights into active trends and great B2B trade features, udaan brings to them the power of technology to scale & nurture their business.The easy-to-use app gives you the power to:- DISCOVER customers, suppliers & products across numerous categories- BUY & SELL on your terms – with secure payments & smooth logistics- GROW your network through repeats & relationships with like-minded parties"
HCL Group,3.8,25.1kReviews),"Chennai + 70 more, 50k-1 Lakh Employees (India)",IT Services & Consulting,"About, Reviews 25.1k, Salaries 33.2k, Interviews 153, Jobs",
HDFC Life,4.1,5.8kReviews),"Public, Mumbai,Maharashtra + 411 more, 22 years old, 10k-50k Employees (India)","Financial Services, Insurance, Public, Mumbai,Maharashtra","About, Reviews 5.8k, Salaries 29.9k, Interviews 215, Jobs 21","HDFC Life Insurance Company Limited (Formerly HDFC Standard Life Insurance Company Limited) ('HDFC Life' / ‘Company’) is a joint venture between HDFC Ltd., one of India’s leading housing finance institution and Standard Life Aberdeen, a global investment company.Established in 2000, HDFC Life is a leading long-term life insurance solutions provider in India, offering a range of individual and group insurance solutions that meet various customer needs such as Protection, Pension, Savings, Investment and Health. As on March 31, 2019 the Company had 38 individual and 11 group products in its portfolio, along with 8 optional rider benefits, catering to a diverse range of customer needs.HDFC Life continues to benefit from its presence across the country with 412 branches and additional distribution touchpoints through several partnerships.  The partnerships comprise 265 bancassurance partners including NBFCs (Non-Banking Financial Companies), MFIs (Micro Finance Institutions), SFBs (Small Finance Banks), etc. and 39 partnerships within non-traditional ecosystems. The Company is also strengthened by a strong base of financial consultants.In Fiscal 2012, The Company established a wholly-owned subsidiary, HDFC Pension Management Company Ltd., to operate its pension fund business under the National Pension Scheme (NPS). And in Fiscal 2016, the Company established its first international wholly-owned subsidiary in the UAE, HDFC International Life and Re Company Ltd., to operate its reinsurance business"
Lupin,4.1,4.4kReviews),"Public, Mumbai,Maharashtra + 132 more, 54 years old, 10k-50k Employees (India)","Biotech & Life sciences, Manufacturing, Pharma, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 4.4k, Salaries 21k, Interviews 173, Jobs 18","Lupin is a global pharmaceutical company offering a wide range of products such as Branded & Generic Formulations, Biotechnology Products, Active Pharmaceutical Ingredients (APIs) and Specialty. Lupin is a significant player in the therapy areas of Gynaecology, Cardiovascular, Diabetology, Asthma, Paediatric, Central Nervous System (CNS), Gastro Intestinal (GI), Anti-Infective (AI) and Non-Steroidal Anti-Inflammatory Drugs (NSAIDs). Lupin also holds a global leadership position in the Anti-TB and Cephalosporins segments. With a presence in over 100 countries, Lupin offers high-quality yet affordable medicines for some of the most chronic diseases addressing unmet needs in many parts of the world."
Indian Army,4.7,4.3kReviews),"Public, New Delhi,Delhi + 271 more, 127 years old, 1 Lakh+ Employees (India)","Defence & Aerospace, Federal Agencies, Government, Public, New Delhi,Delhi","About, Reviews 4.3k, Salaries 12.5k, Interviews 80, Jobs","The principal task of the Ministry is to frame policy directions on defence and security related matters and communicate them for implementation to the Services Headquarters, Inter-Service Organisations, Production Establishments and Research & Development Organisations. It is required to ensure effective implementation of the Government's policy directions and the execution of approved programmes within the allocated resources."
EXL Service,3.9,5.5kReviews),"Private, New York City,New York + 30 more, 23 years old, 10k-50k Employees (India)","BPO/KPO, Consulting, Internet, Analytics & KPO, BPO","About, Reviews 5.5k, Salaries 28.3k, Interviews 282, Jobs 404","We make sense of data and drive your business forwardChoosing a digital partner is about more than capabilities — it’s about collaboration and character.Unrealistic overhauls and off-the-shelf products ignore what matters most — your unique needs, culture, goals, and your legacy data and technology environments.At EXL, our collaboration is built on ongoing listening and learning to adapt our methodologies. We’re your business evolution partner—tailoring solutions that make the most of data to make better business decisions and drive more intelligence into your increasingly digital operations.Whether your goals are scaling the use of AI and digital, redesigning operating models, or driving better and faster decisions, we’re here to partner with you to help you gain—and maintain—competitive advantage with efficient, sustainable models at scale.Our expertise in transformation, data science, and change management helps make your business more efficient and effective, improve customer relationships and enhance revenue growth. Instead of focusing on multi-year, resource- and time-intensive platform designs or migrations, we look deeper at your entire value chain to integrate strategies with impact."
PwC,3.8,4.2kReviews),"Partnership, London + 63 more, 24 years old, 10k-50k Employees (India)","Consulting, Accounting & Auditing, Conglomerate","About, Reviews 4.2k, Salaries 57.1k, Interviews 458, Jobs 419","With offices in 158 countries and more than 250,000 people, we are among the leading professional services networks in the world. We help organizations and individuals create the value they’re looking for, by delivering quality in assurance, tax and advisory services. Some facts about PwC:-In FY18, PwC firms provided services to 429 of the Global Fortune 500 companies and more than 100,000 entrepreneurial and private businesses-64,766 people joined PwC firms around the world in FY18-For the year ending 30 June 2018, PwC’s gross revenues were US$41.3 billion, up 7% from the previous year"
L&T Infotech,3.8,4.2kReviews),"Public, Mumbai,Maharashtra + 77 more, 26 years old, 10k-50k Employees (India)","IT Services & Consulting, Conglomerate, Public, Mumbai,Maharashtra","About, Reviews 4.2k, Salaries 62.4k, Interviews 324, Jobs 103","LTI (NSE: LTI) is a global technology consulting and digital solutions company helping more than 300 clients succeed in a converging world. With operations in 30 countries, we go the extra mile for our clients and accelerate their digital transformation with LTI’s Mosaic platform enabling their mobile, social, analytics, IoT and cloud journeys.Founded 20 years ago as the information technology arm of the Larsen & Toubro group, our unique heritage gives us unrivaled real-world expertise to solve the most complex challenges of enterprises across all industries.Each day, our team of more than 28,000 LTItes enable our clients to improve the effectiveness of their business and technology operations, and deliver value to their customers, employees and shareholders."
UltraTech Cement,4.2,4.8kReviews),"Public, Mumbai,Maharashtra + 344 more, 39 years old, 10k-50k Employees (India)","Building Material, Engineering & Construction, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 4.8k, Salaries 20.3k, Interviews 199, Jobs 9","UltraTech Cement Ltd is the largest manufacturer of grey cement, ready mix concrete (RMC) and white cement in India. It is also one of the leading cement producers globally, and the only cement company globally (outside of China) to have more than 100 million tonne capacity in one country.It has a consolidated capacity* of 117.35 Million Tonnes Per Annum (MTPA) of grey cement. UltraTech Cement has 23 integrated plants, 1 clinkerisation plant, 27 grinding units and 7 bulk terminals. Its operations span across India, UAE, Bahrain, Bangladesh and Sri Lanka.(*Including 4 MTPA commissioning by June 2019)In the white cement segment, UltraTech goes to market under the brand name of Birla White. It has a white cement plant with a capacity of 0.56 MTPA and 2 WallCare putty plants with a combined capacity of 0.8 MTPA.With 100+ Ready Mix Concrete (RMC) plants in 35 cities, UltraTech is the largest manufacturer of concrete in India. It also has a slew of speciality concretes that meet specific needs of discerning customers. Our Building Products business is an innovation hub that offers an array of scientifically engineered products to cater to new-age constructions."
iEnergizer,4.2,4kReviews),"Private, Noida,Uttar Pradesh + 15 more, 22 years old, 10k-50k Employees (India)","BPO/KPO, BPO, IT Services & Consulting, Noida,Uttar Pradesh","About, Reviews 4k, Salaries 14.4k, Interviews 172, Jobs 98","A conglomerate of some of the most sought-after solutions in the digital landscape, we are a global provider of an array of tech solutions that can help you reimagine the scope of your business. Keeping in mind the big picture, we thrive on digitally transforming businesses through a comprehensive suite of Customer Management and Custom Content Development Services, helping you to reap increased profits through cost-effective, value-rich customer contacts and transformation solutions.Founded in the year 2000, we believe in business process excellence. So, it’s a no-brainer that, we believe in quality over quantity. Developing and transforming customer data that serves the entire customer lifecycle is our niche and we take pride in bringing you unparalleled expertise through our team of 17,000+ professionals across 9 delivery centers, worldwide. We focus primarily on Customer Experience (CX) which is why our staff and customer retention rates are among the highest in the industry."
Home Credit Fina...,4.2,4kReviews),"Private, Gurugram + 102 more, 10 years old, 5k-10k Employees (India)","NBFC, Gurugram","About, Reviews 4k, Salaries 12.5k, Interviews 71, Jobs 48","Home Credit India Finance Pvt. Ltd. is a leading Non-Banking Financial Company (NBFC) in consumer finance lending. The company is committed to drive credit penetration and financial inclusion by offering large financial solutions that are simple, transparent and accessible to all. With largest penetration in sub Rs. 10,000 category, Home Credit India has an employee base of over 15,000 and has been consistently expanding operations since its entry in 2012, with its operations spread over 179 cities across 20 States in India. The company has a strong network of around 29,000 points-of-sale (PoS) and is growing with a customer base of over 10 million customers, driven by Pan-India expansion across major markets, a range of diversified and innovative products backed by superior customer experience. Home Credit India has been recognized by Aon Hewitt as a Regional AON Best Employer 2017 for employer excellence."
Bajaj Finance,4.1,4.5kReviews),"Private, Pune,Maharashtra + 616 more, 35 years old, 10k-50k Employees (India)","Financial Services, NBFC, Pune,Maharashtra","About, Reviews 4.5k, Salaries 23.6k, Interviews 142, Jobs 57","Bajaj Finance Limited is the most diversified NBFC in the country, financing the widest set of outcomes. Our entire portfolio is designed to enable you to take control of your aspirations which could be as varied as improving your lifestyle, buying new motorcycle or household goods, or indulging in that much deserved family holiday; whatever be your plan, we have the capability to support it.The Auto Finance division, Bajaj Auto Finance, has been in operations since 1987 and has served more than 30 lakh customers across India. We offer our customers vehicle loans for the purchase of their favorite Bajaj bikes from amongst all the variants namely Pulsar, Avenger, Discover, Platina and the latest V besides KTM bikes. We also provide easy and attractive financing schemes for a wide range of Bajaj RE three wheelers.Bajaj Finance has modern infrastructure facilities with state-of- art technology which includes automated cheque handling facilities, and computerized loan accounting with on-line customer data to handle customer transactions and requests efficiently. At Bajaj Auto Finance, we believe in offering the best and quickest services to our customers while providing the finest infrastructure facilities such as automated cheque handling, computerized loan accounting and instant eKYC etc."
ITC,3.9,7.5kReviews),"Public, Kolkata,West Bengal + 240 more, 47 years old, 10k-50k Employees (India)","FMCG, Fashion & Textile, Pulp & Paper, Printing & Publishing, Conglomerate, Forbes Global 2000, Fortune India 500, Public, Kolkata,West Bengal","About, Reviews 7.5k, Salaries 20.1k, Interviews 258, Jobs 27","ITC is one of India's foremost private sector companies and a diversified conglomerate with businesses spanning Fast Moving Consumer Goods, Hotels, Paperboards and Packaging, Agri-Business, and Information Technology. The Company is acknowledged as one of India's most valuable business corporations with a Gross sales value of ₹ 76,097.31 crores and a Net Profit of ₹ 15,136.05 crores (as of 31.03.2020). ITC was ranked as India's most admired company, according to a survey conducted by Fortune India, in association with Hay Group.ITC is the country's leading FMCG marketer, the clear market leader in the Indian Paperboard and Packaging industry, a globally acknowledged pioneer in farmer empowerment through its wide-reaching Agri Business, a pre-eminent hotel chain in India that is a trailblazer in 'Responsible Luxury'. ITC's wholly-owned subsidiary, ITC Infotech, is a specialized global digital solutions provider.Over the last decade, ITC's new Consumer Goods Businesses have established a vibrant portfolio of 25 world-class Indian brands that create and retain value in India. ITC's world-class FMCG brands including Aashirvaad, Sunfeast, Yippee!, Bingo!, B Natural, ITC Master Chef, Fabelle, Sunbean, Fiama, Engage, Vivel, Savlon, Classmate, Papercraft, Mangaldeep, Aim, and others have garnered encouraging consumer franchise within a short span of time. While several of these brands are market leaders in their segments, others are making appreciable progress."
Paytm,3.7,4.5kReviews),"Public, Noida + 237 more, 12 years old, 10k-50k Employees (India)","Advertising / PR / Events, Gaming, Internet, Other, FinTech, IT Services & Consulting, Graduated Unicorn, Public, Noida","About, Reviews 4.5k, Salaries 25.5k, Interviews 287, Jobs 530","Paytm is India's largest leading payment gateway that offers comprehensive payment services for customer and merchants. We offer mobile payment solutions to over 7 million merchants and allow consumers to make seamless mobile payments from Cards, Bank Accounts and Digital Credit among others. We pioneered and are the leader of QR based mobile payments in India. With the launch of Paytm Payments Bank, we aim to bring banking and financial services to half-a-billion un-served and under-served Indians. Our investors include Softbank, SAIF Partners, Alibaba Group and Ant Financial. We strive to maintain an open culture where everyone is a hands-on contributor and feels comfortable sharing ideas and opinions. Our team spends hours, designing each new feature and obsesses about the smallest of details."
Hindustan Unilev...,4.3,4.5kReviews),"Public, Mumbai,Maharashtra + 359 more, 89 years old, 10k-50k Employees (India)","FMCG, Retail, Conglomerate, Forbes Global 2000, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 4.5k, Salaries 21.3k, Interviews 161, Jobs 19","We’re driven by our purpose: to make sustainable living commonplace.With over 85 years of heritage in India, HUL is India’s largest fast-moving consumer goods company. On any given day, nine out of ten Indian households use our products, giving us a unique opportunity to build a brighter future. We are known for our great brands, the positive social impact we create and our belief in doing business the right way.HUL works to create a better future every day and helps people feel good, look good and get more out of life with brands and services that are good for them and good for others.With 44 brands spanning 14 distinct categories such as fabric solutions, home and hygiene, life essentials, skin cleansing, skincare, hair care, colour cosmetics, oral care, deodorants, tea, coffee, ice cream & frozen desserts, foods and health food drinks, the Company is a part of the everyday life of millions of consumers across India. Its portfolio includes leading household brands such as Lux, Lifebuoy, Surf excel, Rin, Wheel, Glow & Lovely, Pond’s, Vaseline, Lakmé, Dove, Clinic Plus, Sunsilk, Pepsodent, Closeup, Axe, Brooke Bond, Bru, Knorr, Kissan, Kwality Wall’s, Horlicks and Pureit.The Company has about 21,000 employees and has sales of INR 45,311 crores (financial year 2020-21). HUL is a subsidiary of Unilever, one of the world’s leading suppliers of Food, Home Care, Personal Care and Refreshment products with sales in over 190 countries and an annual sales turnover of €51 billion in 2020. Unilever has 61.9% shareholding in HUL.Forbes rates HUL as the most innovative company in India and #8 globally. Aon Hewitt recognises HUL as one of the best companies to work for and it continues to be the ‘Employer of Choice’ in the industry for past 12 years."
Ujjivan Small Fi...,4.1,3.9kReviews),"Public, Bangalore/Bengaluru,Karnataka + 387 more, 5 years old, 10k-50k Employees (India)","Financial Services, Banking, Fortune India 500, Public, Bangalore/Bengaluru,Karnataka","About, Reviews 3.9k, Salaries 15.6k, Interviews 109, Jobs 25","Ujjivan Small Finance Bank (USFB) Limited is among the leading small finance banks in the country. As a mass-market bank, it remains committed to serving the unserved and underserved segments through financial and digital inclusion. We are now a one-stop destination for financial services and offer personalized customer experience to our wide customer base. With technology as a key enabler, Ujjivan Small Finance Bank continues to expand its reach and enhance customer experience. The strengthened digital interfaces, across regions and languages, have empowered our customers to seek timely and easy access to finance; at all times. This has further enabled the Bank to deepen its customer connection across diverse locations. As a ‘Responsible Bank’ we stay invested in creating a sustainable social impact through community development and financial literacy initiatives.Ujjivan Financial Services Limited (UFSL) commenced operations as an NBFC in 2005, with the mission to provide a full range of financial services to the ‘economically active poor’ who were not adequately served by financial institutions. On receipt of License from RBI, UFSL set up Ujjivan Small Finance Bank (USFB) and USFB commenced its Banking operations from February 1, 2017. We are a ‘scheduled bank’ included in the Second Schedule to the Reserve Bank of India Act, 1934, and a listed Entity. Our IPO in 2019 was oversubscribed 170 times, and it was widely considered to be the best IPO in the last four years across the banking and financial services sector."
KPMG,3.8,4kReviews),"Partnership, Bengaluru/Bangalore + 56 more, 35 years old, 10k-50k Employees (Global)","Consulting, Analytics & KPO, Accounting & Auditing","About, Reviews 4k, Salaries 45.2k, Interviews 395, Jobs 213","By helping other organizations mitigate risks and grasp opportunities, we can drive positive, sustainable change for clients, our people, and society at large.KPMG firms operate in 144 countries and territories, and in FY21, collectively employed more than 236,000 people, serving the needs of businesses, governments, public-sector agencies, not-for-profits, and through KPMG firms' audit and assurance practices, the capital markets. KPMG is committed to quality and service excellence in all that we do, bringing our best to clients and earning the public's trust through our actions and behaviors both professionally and personally.We lead with a commitment to quality and integrity across the KPMG global organization, bringing a passion for client success and a purpose to serve and improve the communities in which KPMG firms operate. In a world where rapid change and unprecedented disruption are the new normal, we inspire confidence and empower change in all we do."
Mindtree,4.1,3.8kReviews),"Public, Bangalore/Bengaluru,Karnataka + 26 more, 23 years old, 10k-50k Employees (India)","BPO/KPO, IT Services & Consulting, Public, Bangalore/Bengaluru,Karnataka","About, Reviews 3.8k, Salaries 65k, Interviews 548, Jobs 98","Mindtree is a global technology consulting and services company that enables enterprises across industries to drive superior competitive advantage, customer experiences, and business outcomes by harnessing digital and cloud technologies. A digital transformation partner to more than 260 of the world’s most pioneering enterprises, Mindtree brings extensive domain, technology, and consulting expertise to help reimagine business models, accelerate innovation and maximize growth. As a socially and environmentally responsible business, Mindtree is focused on growth as well as sustainability in building long-term stakeholder value. Powered by more than 32,000 talented and entrepreneurial professionals across 24 countries, Mindtree — a Larsen & Toubro Group company — is consistently recognized among the best places to work"
OPPO,4.0,4kReviews),"Public, Dongguan,Guangdong + 327 more, 18 years old, 10k-50k Employees (India)","Manufacturing, Electronics, Consumer Electronics & Appliances, Public","About, Reviews 4k, Salaries 15.5k, Interviews 123, Jobs 25","The OPPO brand was first registered in 2001 and OPPO was officially incorporated in 2004. To date,OPPO has expanded its business presence to more than 40 countries and regions, with over 400,000 sales outlets worldwide. With nine Intelligent Manufacturing Centers, six Research Divisions, four R&D Centers and a London-based Global Design Center, OPPO has more than 40,000 employees around the world. OPPO was awarded as “Most Respected Chinese Company” by The Economic Oberserver in 2018 for the third consecutive year and was also included on Boston Consulting Group’ s“ 2018 BCG Global Challengers” list. Also in 2018, OPPO received the Canstar Blue “Most Satisfied Customers” award for the second year in a row. In 2019, OPPO earned a spot on the “Top 50 Chinese Global Brands” ranking by BrandZTM, the leading global authority on brand powe"
IIFL,3.9,3.7kReviews),"Public, Mumbai,Maharashtra + 496 more, 27 years old, 10k-50k Employees (India)","Financial Services, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 3.7k, Salaries 21.4k, Interviews 155, Jobs 118","IIFL is a financial services conglomerate which was started by a group of passionate entrepreneurs in 1995. The genesis of IIFL lies in the power of dreaming big and believing in your dreams.IIFL was the pioneer in the retail broking industry with its launch of 5paisa trading platform which offered the lowest brokerage in the industry and the freedom from traditional ways of transacting. Our strength has been to continuously innovate and reinvent ourselves. IIFL’s evolution from an entrepreneurial start-up in 1995 to a full range diversified financial services group is a story of steady growth by adapting to the dynamic business environment, without losing focus on our core domain of financial services.Today, IIFL Holdings Limited (Bloomberg Code: IIFL IN, NSE: IIFL, BSE: 532636) is India’s leading integrated financial services group with diverse operating businesses, mainly, Non Banking and Housing Finance, Wealth and Asset Management, Financial Advisory and Broking, Mutual Funds and Financial Product Distribution, Investment Banking, Institutional Equities, Realty Broking and Advisory Services.IIFL serves more than 4 million satisfied customers across various business segments and is continuously building on its strengths to deliver excellent service to its expanding customer base."
